Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,flow_obs,water_temp_c_obs,conductivity_obs,nitrate_obs,inorganic_phosphorus_obs,pathogen_obs,const_ii_obs,alkalinity_obs,pH_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
0.0,3702.815698,13.735767,0.08153,0.668029,246.333773,23750.401827,26359.379729,627.160429,743.956962,4141.870478,27.507837,1.164597,139.454056,0.0,1.010306,0.0,7.253704,50736.941985,4885.82744,50109.781556,41.243604,276.600234,125.219458,14.6706,0.67192,0.61149,6.80735,4.16261,0.16142,2.26624,,,,,,,,,,,,,,,
0.172667,3702.815698,13.735767,0.08153,0.668029,246.333773,23750.401827,26359.379729,627.160429,743.956962,4141.870478,27.507837,1.164597,139.454056,0.0,1.010306,0.0,7.253704,50736.941985,4885.82744,50109.781556,41.243604,276.600234,125.219458,14.6706,0.67192,0.61149,6.80735,4.16261,0.16142,2.24148,,,,,,,,,,,,,,,
0.518001,3702.815625,13.735768,0.081376,0.668029,246.259368,23756.555966,26354.271881,628.172321,767.558284,4118.269545,27.852349,1.220637,139.486972,0.0,1.010306,0.0,7.251709,50739.000169,4885.827829,50110.827848,41.588117,276.896524,125.044212,14.7152,0.67192,0.61149,6.80735,4.16261,0.16142,2.21672,,,,,,,,,,,,,,,
0.863334,3702.815561,13.735769,0.081222,0.668029,246.179181,23762.730148,26349.142602,629.189049,791.981755,4093.846454,28.202223,1.279333,139.521785,0.0,1.010306,0.0,7.249684,50741.061799,4885.82821,50111.87275,41.937992,277.192802,124.866626,14.7605,0.67192,0.61149,6.80735,4.16261,0.16142,2.21672,,,,,,,,,,,,,,,
1.208668,3702.815506,13.73577,0.081067,0.668029,246.093088,23768.924747,26343.991506,630.210691,817.259551,4068.569032,28.557574,1.340815,139.558571,0.0,1.010306,0.0,7.247628,50743.126945,4885.828583,50112.916254,42.293343,277.489066,124.687011,14.8065,0.67192,0.61149,6.80735,4.16261,0.16142,2.1672,,,,,,,,,,,,,,,
1.554002,3702.815458,13.73577,0.08091,0.668029,246.000961,23775.140148,26338.818202,631.23733,843.425273,4042.403676,28.918517,1.405207,139.597407,0.0,1.010306,0.0,7.245542,50745.19568,4885.828949,50113.95835,42.654287,277.785314,124.505702,14.8532,0.67192,0.61149,6.80735,4.16261,0.16142,2.14243,,,,,,,,,,,,,,,
1.899335,3702.815417,13.735771,0.08075,0.668029,245.902668,23781.376741,26333.622294,632.269047,870.514026,4015.315283,29.285173,1.472631,139.638372,0.0,1.010306,0.0,7.243427,50747.268082,4885.829309,50114.999035,43.020944,278.081543,124.323053,14.9007,0.67192,0.61149,6.80735,4.16261,0.16142,2.14243,,,,,,,,,,,,,,,
2.244669,3702.815382,13.735771,0.080577,0.668029,245.798066,23787.634928,26328.403376,633.305931,898.56249,3987.267173,29.657665,1.543203,139.681552,0.0,1.010306,0.0,7.241285,50749.344235,4885.829663,50116.038304,43.393437,278.377743,124.139353,14.9489,0.67192,0.61149,6.80735,4.16261,0.16142,2.11767,,,,,,,,,,,,,,,
2.590003,3702.815351,13.735772,0.080334,0.668029,245.686975,23793.915118,26323.161036,634.348079,927.609008,3958.221003,30.03612,1.617033,139.727033,0.0,1.010306,0.0,7.239112,50751.424233,4885.830011,50117.076154,43.771892,278.673869,123.954375,14.9978,0.67192,0.61149,6.80735,4.16261,0.16142,2.09291,,,,,,,,,,,,,,,
2.935336,3702.815324,13.735773,0.079694,0.668029,245.569003,23800.217729,26317.894835,635.395642,957.69367,3928.136685,30.420669,1.694226,139.774909,0.0,1.010306,0.0,7.236898,50753.508206,4885.830354,50118.112565,44.156442,278.969672,123.764777,15.0475,0.67192,0.61149,6.80735,4.16261,0.16142,2.04339,,,,,,,,,,,,,,,
3.28067,3702.815301,13.735773,0.076786,0.668029,245.442592,23806.543189,26312.60422,636.44906,988.858405,3896.972287,30.811446,1.774881,139.825272,0.0,1.010306,0.0,7.234567,50755.596469,4885.830692,50119.147409,44.54722,279.263737,123.549323,15.098,0.67192,0.61149,6.80735,4.16261,0.16142,2.01863,,,,,,,,,,,,,,,
3.877856,3702.815281,13.735774,0.060887,0.668029,245.299487,23812.891935,26307.287996,637.510444,1021.147084,3864.683938,31.20859,1.859095,139.878212,0.0,1.010306,0.0,7.231682,50757.690375,4885.831021,50120.179931,44.944364,279.547959,123.184736,15.1493,0.67192,0.61149,6.80735,4.16261,0.16142,1.95775,,,,,,,,,,,,,,,
4.726893,3702.815239,13.735775,0.062188,0.668029,243.512098,23828.559305,26293.632714,640.169289,1102.554619,3783.277162,33.021959,2.075114,140.012694,0.0,1.010306,0.0,7.227624,50762.361308,4885.831781,50122.192019,46.757734,279.711755,123.163564,15.2774,0.67192,0.61149,6.80735,4.16261,0.16142,1.89687,,,,,,,,,,,,,,,
5.57593,3702.815212,13.735777,0.071429,0.668029,241.59655,23844.373292,26279.833221,642.8597,1191.21478,3694.617738,34.95735,2.310261,140.163987,0.0,1.010306,0.0,7.224149,50767.066214,4885.832518,50124.206514,48.693126,279.878687,123.351776,15.4105,0.67192,0.61149,6.80735,4.16261,0.16142,1.89687,,,,,,,,,,,,,,,
