 ** Hydraulics Summary **
Trib  Reach                    Downstream  Hydraulics  E'          H           Btop        Ac          U           trav time   slope       Reaeration  Reaeration formulas      drop (m)    
No.   Label                    Distance    Q,(m3/s)    (m^3/s)     (m)         (m)         (m^2)       (m/s)       (day)                   ka,20,(/d)  water/wind               drop (m)    
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0CABECERA                     25.00000     0.20000     0.10000     0.40499     5.02812     2.03636     0.09821     0.00000     0.00000                                               
     0TRAMO_1                      23.69476     0.20050     0.10025     0.40534     5.03126     2.03936     0.09832     0.15366     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                      22.38952     0.20050     0.10025     0.40534     5.03126     2.03936     0.09832     0.30732     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                      21.08429     0.20050     0.10025     0.40534     5.03126     2.03936     0.09832     0.46097     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                      19.77905     0.20050     0.10025     0.40534     5.03126     2.03936     0.09832     0.61463     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                      18.47381     0.20050     0.10025     0.40534     5.03126     2.03936     0.09832     0.76829     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                      17.16857     0.20050     0.10025     0.40534     5.03126     2.03936     0.09832     0.92195     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                      15.86334     0.20050     0.10025     0.40534     5.03126     2.03936     0.09832     1.07561     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                      14.55810     0.49105     0.24552     0.54964     6.29404     3.45948     0.14194     1.18204     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                      13.25286     0.50073     0.25036     0.55330     6.32483     3.49954     0.14308     1.28762     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                      11.94762     0.50879     0.40227     0.55631     6.35013     3.53267     0.14402     1.39251     0.00031     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                      11.60203     0.52411     0.26205     0.56195     6.39740     3.59504     0.14579     1.41995     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                      11.25643     0.52411     0.26205     0.56195     6.39740     3.59504     0.14579     1.44738     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                      10.91083     0.52411     0.26205     0.56195     6.39740     3.59504     0.14579     1.47482     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                      10.56524     0.52411     0.26205     0.56195     6.39740     3.59504     0.14579     1.50226     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                      10.21964     0.52411     0.26205     0.56195     6.39740     3.59504     0.14579     1.52969     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                       9.87405     0.52562     0.26281     0.56250     6.40200     3.60115     0.14596     1.55710     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                       9.52845     0.52562     0.26281     0.56250     6.40200     3.60115     0.14596     1.58450     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                       9.18286     0.52562     0.26281     0.56250     6.40200     3.60115     0.14596     1.61191     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                       8.83726     0.52562     0.26281     0.56250     6.40200     3.60115     0.14596     1.63931     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                       8.49166     0.52562     0.15204     0.56250     6.40200     3.60115     0.14596     1.66672     0.00231     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       7.64250     0.52562     0.26281     0.56250     6.40200     3.60115     0.14596     1.73406    -0.00047     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       6.79333     0.52562     0.26281     0.56250     6.40200     3.60115     0.14596     1.80139    -0.00047     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       5.94416     0.53085     0.26542     0.56440     6.41787     3.62225     0.14655     1.86846    -0.00047     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       5.09500     0.55463     0.27731     0.57287     6.48856     3.71712     0.14921     1.93433    -0.00047     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       4.24583     0.55463     0.27731     0.57287     6.48856     3.71712     0.14921     2.00019    -0.00047     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       3.39667     0.55463     0.27731     0.57287     6.48856     3.71712     0.14921     2.06606    -0.00047     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       2.54750     0.55463     0.27731     0.57287     6.48856     3.71712     0.14921     2.13193    -0.00047     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       1.69833     0.55463     0.27731     0.57287     6.48856     3.71712     0.14921     2.19780    -0.00047     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       0.84917     0.55463     0.27731     0.57287     6.48856     3.71712     0.14921     2.26367    -0.00047     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                       0.00000     0.55463     0.27731     0.57287     6.48856     3.71712     0.14921     2.32954    -0.00047     0.00000     O'Conn/No wind                     0.00000
 
