Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,water_temp_c_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
0.0,1259.568629,10.58373,0.046489,0.609711,192.586301,25974.823673,22667.928623,592.575342,3573.949257,953.53954,49.529167*************,86.055092,0.0,1040.443577,0.0,8.211308,2.52105,4527.488796,48642.752296,60.112897,246.489395,911.782064,7.331965,14.2436,0.55463,0.57287,6.48856,3.71712,0.14921,2.32954,,,,,,,
0.424583,1259.568629,10.58373,0.046489,0.609711,192.586301,25974.823673,22667.928623,592.575342,3573.949257,953.53954,49.529167*************,86.055092,0.0,1040.443577,0.0,8.211308,2.52105,4527.488796,48642.752296,60.112897,246.489395,911.782064,7.331965,14.2436,0.55463,0.57287,6.48856,3.71712,0.14921,2.32954,,,,,,,
1.27375,1259.568632,10.583734,0.046501,0.609711,192.070208,25992.223411,22674.718667,592.951986,3578.737687,948.752126,50.037884*************,86.01675,0.0,1040.443577,0.0,8.202556,2.744723,4527.489813,48666.942077,60.621619,246.520682,901.651151,7.315167,14.3514,0.55463,0.57287,6.48856,3.71712,0.14921,2.26367,,,,,,,
2.122916,1259.568635,10.583738,0.046514,0.609711,191.544595,26009.760638,22681.14215,593.331729,3583.567091,943.923517,50.555538*************,85.978073,0.0,1040.443577,0.0,8.192857,2.847416,4527.490608,48690.902788,61.139276,246.552065,890.049383,7.297684,14.464,0.55463,0.57287,6.48856,3.71712,0.14921,2.13193,,,,,,,
2.972082,1259.568636,10.58374,0.046528,0.609711,191.009072,26027.442436,22687.158619,593.71474,3588.439524,939.051715,51.082502*************,85.939039,0.0,1040.443577,0.0,8.182101,3.80997,4527.491239,48714.601055,61.666243,246.583556,876.833957,7.279495,14.5816,0.55463,0.57287,6.48856,3.71712,0.14921,2.13193,,,,,,,
3.821249,1259.568638,10.583743,0.046551,0.609711,190.463224,26045.276299,22692.72359,594.101177,3593.357152,934.134594,51.619175*************,85.899624,0.0,1040.443577,0.0,8.170167,4.952931,4527.491746,48737.999889,62.202918,246.615168,861.85529,7.260574,14.7044,0.55463,0.57287,6.48856,3.71712,0.14921,2.06606,19.2,72.0,0.6,99.0,,,2500.0
4.670415,1259.568638,10.583745,0.046704,0.609711,189.906612,26063.270177,22697.788712,594.490857,3598.322272,929.169892,52.165979*************,85.859805,0.0,1040.443577,0.0,8.156914,5.698739,4527.492164,48761.058889,62.749724,246.646916,844.962123,7.240899,14.8325,0.55463,0.57287,6.48856,3.71712,0.14921,1.93433,,,,,,,
5.519582,1259.568639,10.583747,0.049049,0.609711,189.338825,26081.432516,22702.307235,594.877563,3603.337315,924.155201,52.723365*************,85.819599,0.0,1040.443577,0.0,8.142219,5.754834,4527.492515,48783.739751,63.307112,246.678877,826.055814,7.220442,14.9664,0.53085,0.5644,6.41787,3.62225,0.14655,1.86846,13.7,328.0,0.5,140.0,,,
6.368748,1278.174736,10.802522,0.047498,0.617061,191.258317,27170.394494,22119.780484,618.453177,3586.383205,588.450147,54.232171*************,73.76446,0.0,983.572103,0.0,8.285396,3.685023,4174.833352,49290.174978,65.034694,250.229194,1102.833652,7.222238,14.9582,0.52562,0.5625,6.402,3.60115,0.14596,1.80139,,,,,,,
7.217914,1282.816657,10.786131,0.047311,0.6169,190.668183,27434.509894,21902.623872,624.394873,3625.261884,439.868947,54.670723*************,71.071392,0.0,687.290365,0.0,8.343102,0.878089,4065.130831,49337.133766,65.456854,250.11078,1248.538541,7.204992,15.0722,0.52562,0.5625,6.402,3.60115,0.14596,1.80139,,,,,,,
