 ** Hydraulics Summary **
Trib  Reach                    Downstream  Hydraulics  E'          H           Btop        Ac          U           trav time   slope       Reaeration  Reaeration formulas      drop (m)    
No.   Label                    Distance    Q,(m3/s)    (m^3/s)     (m)         (m)         (m^2)       (m/s)       (day)                   ka,20,(/d)  water/wind               drop (m)    
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0CABECERA                    244.16137     0.02900     0.01450     0.67162     6.54676     4.39696     0.00660     0.00000     0.00000                                               
     0TRAMO_1                     238.58810     0.05900     0.02950     0.74200     7.04815     5.22970     0.01128     5.71769     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                     233.01484     0.05900     0.02950     0.74200     7.04815     5.22970     0.01128    11.43537     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                     227.44158     0.51960     0.25980     1.00684     8.83571     8.89613     0.05841    12.53977     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                     221.86832     0.51133     0.25566     1.00457     8.82099     8.86132     0.05770    13.65766     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                     216.29505     0.51133     0.25566     1.00457     8.82099     8.86132     0.05770    14.77554     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                     210.72179     0.77639     0.38820     1.06520     9.21219     9.81279     0.07912    15.59082     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                     205.14853     0.78260     0.39130     1.06639     9.21981     9.83188     0.07960    16.40121     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                     199.57527     2.60027     1.30013     1.26205    10.44489    13.18202     0.19726    16.72822     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                     194.00200     2.60062     1.30031     1.26208    10.44504    13.18246     0.19728    17.05519     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                     188.42874     2.59971     2.06827     1.26202    10.44466    13.18133     0.19723    17.38226     0.00650     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     186.99671     2.59971     1.29985     0.75631    10.60245     8.01878     0.32420    17.43338     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     185.56467     2.59776     1.29888     0.75606    10.60202     8.01576     0.32408    17.48452     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     184.13264     2.59566     1.29783     0.75579    10.60156     8.01251     0.32395    17.53569     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     182.70061     2.59478     1.29739     0.75567    10.60136     8.01115     0.32390    17.58686     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     181.26857     2.59437     1.29719     0.75562    10.60127     8.01051     0.32387    17.63804     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     179.83654     5.03500     2.51750     1.01664    10.98919    11.17207     0.45068    17.67481     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     178.40451     3.05667     1.52833     0.81315    10.69591     8.69740     0.35145    17.72197     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     176.97248     3.05620     1.52810     0.81310    10.69582     8.69673     0.35142    17.76914     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     175.54044     3.00461     1.50230     0.80692    10.68596     8.62277     0.34845    17.81670     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                     174.10841     3.03510     1.35797     0.81058    10.69181     8.66656     0.35021    17.86403     0.00265     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                     172.33981     3.03660     1.51830     1.07997    14.42234    15.57575     0.19496    17.96903     0.00023     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                     170.57121     3.03660     1.51830     1.07997    14.42234    15.57575     0.19496    18.07402     0.00023     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                     168.80261     3.01140     1.50570     1.07744    14.41174    15.52772     0.19394    18.17957     0.00023     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                     167.03401     2.94007     1.47004     1.07017    14.38131    15.39039     0.19103    18.28673     0.00023     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                     165.26542     3.02707     1.51354     1.07902    14.41834    15.55762     0.19457    18.39193     0.00023     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                     163.49682     3.02077     1.51038     1.07838    14.41569    15.54560     0.19432    18.49728     0.00023     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                     161.72822     2.97322     1.48661     1.07356    14.39553    15.45447     0.19239    18.60368     0.00023     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                     159.95962     2.97051     1.48525     1.07328    14.39438    15.44925     0.19228    18.71014     0.00023     0.00000     Specified/No wind                  0.00000
     0TRAMO_3                     158.19102     2.93198     1.46599     1.06933    14.37781    15.37469     0.19070    18.81748     0.00023     0.00000     Specified/No wind                  0.00000
