Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,flow_obs,water_temp_c_obs,conductivity_obs,nitrate_obs,inorganic_phosphorus_obs,pathogen_obs,const_ii_obs,alkalinity_obs,pH_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
0.0,182.469932,19.260346,6.107201,0.023131,7.598536,1330.951463,1893.079543,399.028025,58.173255,181.775489,105.896344,2.699778,55.040414,0.000124,2.075916,0.0,7.512777,3623.059031,239.948744,3224.031006,125.15669,121.566132,19.135828,16.8498,32.2346,1.05848,24.29181,25.71249,1.25366,21.60625,,,,,,,,,,,,,,,
1.133129,182.469932,19.260346,6.107201,0.023131,7.598536,1330.951463,1893.079543,399.028025,58.173255,181.775489,105.896344,2.699778,55.040414,0.000124,2.075916,0.0,7.512777,3623.059031,239.948744,3224.031006,125.15669,121.566132,19.135828,16.8498,32.2346,1.05848,24.29181,25.71249,1.25366,21.60625,,,,,,,,,,,,,,,
3.399387,182.51816,19.261757,6.127025,0.023142,7.673056,1332.154899,1893.488552,399.425828,58.781847,181.173435,105.966539,2.70168,55.048524,0.000126,2.075376,0.0,7.519485,3625.069279,239.955282,3225.643451,125.228296,121.716194,19.511105,16.9028,32.2346,1.05848,24.29181,25.71249,1.25366,21.58533,,,,,,,,,,,,,,,
5.665644,182.565134,19.26314,6.151788,0.023152,7.749075,1333.331391,1893.879652,399.812225,59.399412,180.560333,106.036978,2.703596,55.056451,0.000128,2.074839,0.0,7.526977,3627.023267,239.959745,3227.211042,125.300117,121.868015,19.929724,16.9562,32.2346,1.05848,24.29181,25.71249,1.25366,21.5644,,,,,,,,,,,,,,,
7.931902,182.610859,19.264495,6.181838,0.023163,7.826637,1334.48104,1894.253143,400.187227,60.026121,179.936076,106.107663,2.705526,55.064195,0.00013,2.074306,0.0,7.535339,3628.92141,239.962196,3228.734183,125.372157,122.021645,20.398071,17.0101,32.2346,1.05848,24.29181,25.71249,1.25366,21.52256,,,,,,,,,,,,,,,
10.19816,182.65534,19.265822,6.217546,0.023174,7.905792,1335.604008,1894.609399,400.550866,60.662145,179.300557,106.178598,2.707471,55.071759,0.000132,2.073775,0.0,7.544669,3630.764273,239.962702,3230.213407,125.44442,122.177137,20.92383,17.0644,32.2346,1.05848,24.29181,25.71249,1.25366,21.52256,,,,,,,,,,,,,,,
12.464417,185.796098,16.136848,6.181085,0.020666,7.495466,1329.797527,2202.283129,400.318544,34.306929,205.157121,87.796737,2.480413,52.825063,0.000166,1.939139,0.0,7.462128,3932.3992,239.464049,3532.080656,103.933586,101.985422,18.895091,16.1969,25.9136,1.0208,22.67278,23.14428,1.11965,21.50164,,,,,,,,,,,,,,,
14.730675,185.854621,16.138618,6.207774,0.02068,7.589772,1331.168711,2202.810943,400.789915,34.682404,204.777231,87.859875,2.482158,52.834039,0.000169,1.938409,0.0,7.466196,3934.76957,239.459634,3533.979654,103.998493,102.147677,19.154546,16.2521,25.9136,1.0208,22.67278,23.14428,1.11965,21.47821,,,,,,,,,,,,,,,
16.996933,185.91125,16.140346,6.240857,0.020693,7.686173,1332.4988,2203.311095,401.244278,35.063994,204.388542,87.923214,2.483921,52.842716,0.000172,1.937684,0.0,7.470932,3937.054173,239.452535,3535.809895,104.06356,102.312245,19.447664,16.3078,25.9136,1.0208,22.67278,23.14428,1.11965,21.43136,,,,,,,,,,,,,,,
19.26319,185.96601,16.14203,6.280831,0.020707,7.78474,1333.788428,2203.784224,401.68183,35.451819,203.991078,87.986759,2.485701,52.8511,0.000175,1.936966,0.0,7.476408,3939.254482,239.442897,3537.572652,104.128789,102.479199,19.779134,16.3641,25.9136,1.0208,22.67278,23.14428,1.11965,21.40793,,,,,,,,,,,,,,,
