 ** Hydraulics Summary **
Trib  Reach                    Downstream  Hydraulics  E'          H           Btop        Ac          U           trav time   slope       Reaeration  Reaeration formulas      drop (m)    
No.   Label                    Distance    Q,(m3/s)    (m^3/s)     (m)         (m)         (m^2)       (m/s)       (day)                   ka,20,(/d)  water/wind               drop (m)    
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0CABECERA                    244.16137     0.02900     0.01450     0.67162     6.54676     4.39696     0.00660     0.00000     0.00000                                               
     0TRAMO_1                     238.58810     0.02900     0.01450     0.67162     6.54676     4.39696     0.00660     9.78025     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                     233.01484     0.02900     0.01450     0.67162     6.54676     4.39696     0.00660    19.56050     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                     227.44158     0.52167     0.26083     1.00740     8.83936     8.90475     0.05858    20.66159     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                     221.86832     0.51339     0.25670     1.00514     8.82468     8.87005     0.05788    21.77607     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                     216.29505     0.51339     0.25670     1.00514     8.82468     8.87005     0.05788    22.89055     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                     210.72179     0.51339     0.25670     1.00514     8.82468     8.87005     0.05788    24.00503     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                     205.14853     0.51960     0.25980     1.00684     8.83570     8.89611     0.05841    25.10944     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                     199.57527     2.60027     1.30013     1.26205    10.44489    13.18202     0.19726    25.43645     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                     194.00200     2.60062     1.30031     1.26208    10.44504    13.18246     0.19728    25.76343     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_1                     188.42874     3.06371     2.43742     1.29143    10.62440    13.72070     0.22329    26.05231     0.00650     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     186.99671     3.06371     1.53185     0.81399    10.69725     8.70745     0.35185    26.09942     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     185.56467     3.06176     1.53088     0.81376    10.69688     8.70467     0.35174    26.14654     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     184.13264     3.05966     1.52983     0.81351    10.69648     8.70167     0.35162    26.19368     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     182.70061     3.05878     1.52939     0.81340    10.69631     8.70042     0.35157    26.24082     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     181.26857     3.05837     1.52919     0.81335    10.69624     8.69983     0.35154    26.28797     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     179.83654     5.03500     2.51750     1.01664    10.98919    11.17207     0.45068    26.32475     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     178.40451     3.05667     1.52833     0.81315    10.69591     8.69740     0.35145    26.37191     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     176.97248     3.05620     1.52810     0.81310    10.69582     8.69673     0.35142    26.41907     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     175.54044     3.00461     1.50230     0.80692    10.68596     8.62277     0.34845    26.46664     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_2                     174.10841     3.03510     1.35797     0.81058    10.69181     8.66656     0.35021    26.51396     0.00265     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                     172.33981     3.03660     1.51830     1.07997    14.42234    15.57575     0.19496    26.61896     0.00023     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                     170.57121     3.03660     1.51830     1.07997    14.42234    15.57575     0.19496    26.72396     0.00023     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                     168.80261     3.01140     1.50570     1.07744    14.41174    15.52772     0.19394    26.82951     0.00023     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                     167.03401     3.02707     1.51354     1.07902    14.41834    15.55762     0.19457    26.93471     0.00023     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                     165.26542     3.02707     1.51354     1.07902    14.41834    15.55762     0.19457    27.03992     0.00023     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                     163.49682     3.02077     1.51038     1.07838    14.41569    15.54560     0.19432    27.14526     0.00023     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                     161.72822     2.97322     1.48661     1.07356    14.39553    15.45447     0.19239    27.25166     0.00023     0.00000     O'Conn/No wind                     0.00000
     0TRAMO_3                     159.95962     2.97051     1.48525     1.07328    14.39438    15.44925     0.19228    27.35812     0.00023     0.00000     O'Conn/No wind                     0.00000
