Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,water_temp_c_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
0.0,139.780913,12.120549,0.109779,0.028926,19.381146,1585.600237,1202.404599,414.953061,125.791969,180.200236,58.424939,0.711743,42.070079,0.000237,2.675286,0.0,8.083505,3202.957897,305.992205,2788.004836,70.545489,82.275306,64.420869,22.2781,25.01581,1.01483,22.42156,22.75418,1.09939,26.23763,,,,,,,
1.133129,139.780913,12.120549,0.109779,0.028926,19.381146,1585.600237,1202.404599,414.953061,125.791969,180.200236,58.424939,0.711743,42.070079,0.000237,2.675286,0.0,8.083505,3202.957897,305.992205,2788.004836,70.545489,82.275306,64.420869,22.2781,25.01581,1.01483,22.42156,22.75418,1.09939,26.23763,,,,,,,
3.399387,139.820909,12.121577,0.109739,0.028936,18.991511,1586.280458,1203.218177,415.958928,125.841373,180.155833,58.800801,0.741506,42.076091,0.000241,2.674163,0.0,8.081099,3205.457564,305.997206,2789.498636,70.922378,82.290109,63.907959,22.2279,25.01581,1.01483,22.42156,22.75418,1.09939,26.21377,,,,,,,
5.665644,139.860666,12.122614,0.109708,0.028946,18.60063,1586.95841,1204.022969,416.962248,125.888915,180.111143,59.177825,0.772315,42.082056,0.000245,2.673028,0.0,8.078528,3207.943627,306.000058,2790.98138,71.300438,82.304915,63.369713,22.1764,25.01581,1.01483,22.42156,22.75418,1.09939,26.18991,,,,,,,
7.931902,139.900166,12.123659,0.109687,0.028956,18.208541,1587.634128,1204.818591,417.962937,125.93466,180.066207,59.55597,0.804195,42.087966,0.000249,2.67188,0.0,8.075783,3210.415656,306.000867,2792.45272,71.679629,82.319721,62.805411,22.1236,25.01581,1.01483,22.42156,22.75418,1.09939,26.14219,,,,,,,
10.19816,139.93939,12.124713,0.109675,0.028966,17.815285,1588.307647,1205.604656,418.96091,125.978679,180.021066,59.935197,0.837171,42.093815,0.000253,2.670722,0.0,8.072855,3212.873214,305.999745,2793.912304,72.05991,82.334523,62.214341,22.0694,25.01581,1.01483,22.42156,22.75418,1.09939,26.14219,,,,,,,
12.464417,139.978322,12.125775,0.109674,0.028976,17.420903,1588.979004,1206.380772,419.956083,126.021045,179.975762,60.315462,0.871271,42.099597,0.000257,2.669553,0.0,8.069734,3215.315859,305.996807,2795.359775,72.441237,82.349317,61.595803,22.0137,25.01581,1.01483,22.42156,22.75418,1.09939,26.11833,,,,,,,
14.730675,140.016945,12.126844,0.109684,0.028986,17.025439,1589.648231,1207.146543,420.94837,126.061836,179.930339,60.696722,0.906525,42.105305,0.000261,2.668376,0.0,8.066409,3217.743144,305.992175,2796.794774,72.823565,82.364098,60.949118,21.9566,25.01581,1.01483,22.42156,22.75418,1.09939,26.09447,,,,,,,
16.996933,140.055243,12.12792,0.109708,0.028996,16.628937,1590.315364,1207.901573,421.937683,126.101133,179.88484,61.07893,0.942962,42.110933,0.000264,2.66719,0.0,8.06287,3220.154619,305.985972,2798.216936,73.206849,82.378861,60.273631,21.898,25.01581,1.01483,22.42156,22.75418,1.09939,26.04676,,,,,,,
19.26319,140.0932,12.129002,0.109777,0.029006,16.231443,1590.980436,1208.645464,422.923925,126.139021,179.839308,61.462039,0.980617,42.116476,0.000269,2.665997,0.0,8.059104,3222.549824,305.978329,2799.625899,73.591041,82.393603,59.568725,21.8378,25.01581,1.01483,22.42156,22.75418,1.09939,26.0229,,,,,,,
