Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,flow_obs,water_temp_c_obs,conductivity_obs,nitrate_obs,inorganic_phosphorus_obs,pathogen_obs,const_ii_obs,alkalinity_obs,pH_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
0.0,431.53178,4.77918,0.051769,0.43406,133.283016,3384.796238,12269.924007,586.309421,532.37477,497.386059,21.688054,2.62306,92.343771,3.082532,4.254552,0.0,7.164016,16241.029665,1029.760829,15654.720244,26.467234,157.053423,63.968117,18.676,1.52011,0.33912,13.83155,4.69053,0.32408,21.29315,,,,,,,,,,,,,,,
0.200088,431.53178,4.77918,0.051769,0.43406,133.283016,3384.796238,12269.924007,586.309421,532.37477,497.386059,21.688054,2.62306,92.343771,3.082532,4.254552,0.0,7.164016,16241.029665,1029.760829,15654.720244,26.467234,157.053423,63.968117,18.676,1.52011,0.33912,13.83155,4.69053,0.32408,21.29315,1.739597,22.3,1271.0,,,6.037426497940624,2.696356388733332,337.8,7.4,109.0,0.05,121.0,,,
0.600264,431.871253,4.779154,0.052213,0.434072,132.952829,3385.856267,12270.648704,586.95556,544.207613,485.955933,22.049912,2.717591,92.375646,3.082532,4.253446,0.0,7.152113,16243.460531,1030.163546,15656.504971,26.829066,157.112606,62.538826,18.7396,1.52011,0.33912,13.83155,4.69053,0.32408,21.27886,,,,,,,,,,,,,,,
1.000441,432.20825,4.779123,0.053806,0.434083,132.614883,3386.916221,12271.355571,587.602459,556.354517,474.208064,22.419378,2.8181,92.408077,3.082532,4.252349,0.0,7.140103,16245.874251,1030.562581,15658.271793,27.198501,157.172216,61.13133,18.8043,1.51734,0.33895,13.82598,4.68633,0.32378,21.25028,,,,,,,,,,,,,,,
1.400617,430.769878,4.781703,0.05965,0.434725,132.463417,3382.140009,12285.413989,585.618459,566.225452,462.05301,22.803662,2.92973,92.394525,3.088159,4.258034,0.0,7.127702,16253.172458,1028.278462,15667.553999,27.585365,157.434882,59.739851,18.8628,1.51734,0.33895,13.82598,4.68633,0.32378,21.25028,,,,,,,,,,,,,,,
1.800793,423.177627,4.767745,0.057014,0.436981,132.830961,3129.818561,11953.265051,595.891136,430.013172,375.379907,23.036645,2.982097,88.362016,3.146471,4.218545,0.0,7.104474,15678.974748,805.393079,15083.083612,27.804391,158.055373,55.421452,18.9399,1.48922,0.33725,13.76902,4.64354,0.32071,21.23597,,,,,,,,,,,,,,,
2.20097,419.515689,4.734623,0.062263,0.42642,129.337102,3132.205629,11992.990824,601.970997,416.356847,317.776547,23.207256,3.067419,85.950135,3.179176,4.205064,0.0,7.101115,15727.16745,734.133394,15125.196452,27.941878,154.734529,55.369674,18.9875,1.4739,0.33631,13.73763,4.62005,0.31902,21.22153,,,,,,,,,,,,,,,
2.601146,419.857872,4.734572,0.091876,0.42643,128.97484,3133.24135,11993.721788,602.621567,425.96266,308.573211,23.608858,3.198877,85.976429,3.179176,4.203954,0.0,7.088804,15729.584705,734.535871,15126.963138,28.34343,154.804402,54.110707,19.0584,1.4739,0.33631,13.73763,4.62005,0.31902,21.19249,,,,,,,,,,,,,,,
3.001322,420.197182,4.734518,0.201898,0.426441,128.632811,3134.276907,11994.537929,603.158434,435.836301,299.098082,24.019361,3.341595,86.003944,3.179176,4.202854,0.0,7.077751,15731.97327,734.934382,15128.814836,28.753879,154.904084,53.038943,19.1306,0.92051,0.29621,12.38204,3.66767,0.25098,21.17797,1.1102150000000002,19.85,536.0,,,5.977723605288848,3.238773501720696,158.87,7.1,48.0,0.05,82.0,,,
3.401499,493.896958,5.236115,0.091221,0.408878,123.803843,4178.536508,16682.258467,714.693005,590.862513,460.28035,25.845203,1.369508,109.501206,1.46964,3.115031,0.0,7.057347,21575.48798,1051.142863,20860.794975,31.081318,152.02216,74.950186,19.9881,0.92051,0.29621,12.38204,3.66767,0.25098,21.17797,,,,,,,,,,,,,,,
