 ** Hydraulics Summary **
Trib  Reach                    Downstream  Hydraulics  E'          H           Btop        Ac          U           trav time   slope       Reaeration  Reaeration formulas      drop (m)    
No.   Label                    Distance    Q,(m3/s)    (m^3/s)     (m)         (m)         (m^2)       (m/s)       (day)                   ka,20,(/d)  water/wind               drop (m)    
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0CABECERA                     51.48707     0.09159     0.04580     0.79844     6.83631     5.45839     0.01678     0.00000     0.00000                                               
     0TRAMO_1                      49.77140     0.09159     0.04580     0.79844     6.83631     5.45839     0.01678     1.18341     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                      48.05574     0.07155     0.03578     0.77042     6.64787     5.12162     0.01397     2.60482     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                      46.34007     0.07155     0.03578     0.77042     6.64787     5.12162     0.01397     4.02622     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                      44.62440     0.07155     0.03578     0.77042     6.64787     5.12162     0.01397     5.44762     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                      42.90873     0.07155     0.03578     0.77042     6.64787     5.12162     0.01397     6.86903     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                      41.19306     0.07155     0.03578     0.77042     6.64787     5.12162     0.01397     8.29043     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                      39.47739     0.07155     0.03578     0.77042     6.64787     5.12162     0.01397     9.71184     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                      37.76172     0.07155     0.03578     0.77042     6.64787     5.12162     0.01397    11.13324     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                      36.04605     0.07155     0.03578     0.77042     6.64787     5.12162     0.01397    12.55465     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_1                      34.33038     0.07155     0.03824     0.77042     6.64787     5.12162     0.01397    13.97605     0.05222     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      32.83556     0.07376     0.03688     0.15297     9.55932     1.46229     0.05044    14.31905     0.01090     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      31.34074     0.07376     0.03688     0.15297     9.55932     1.46229     0.05044    14.66204     0.01090     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      29.84591     0.07376     0.03688     0.15297     9.55932     1.46229     0.05044    15.00504     0.01090     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      28.35109     0.07419     0.03710     0.15335     9.56211     1.46639     0.05059    15.34700     0.01090     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      26.85627     0.07419     0.03710     0.15335     9.56211     1.46639     0.05059    15.68897     0.01090     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      25.36144     0.07419     0.03710     0.15335     9.56211     1.46639     0.05059    16.03093     0.01090     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      23.86662     0.07498     0.03749     0.15406     9.56720     1.47389     0.05087    16.37103     0.01090     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      22.37180     0.07498     0.03749     0.15406     9.56720     1.47389     0.05087    16.71113     0.01090     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      20.87697     0.07498     0.03749     0.15406     9.56720     1.47389     0.05087    17.05122     0.01090     0.00000     Specified/No wind                  0.00000
     0TRAMO_2                      19.38215     0.07738     0.05391     0.15616     9.58236     1.49642     0.05171    17.38582     0.01090     0.00000     Specified/No wind                  0.00000
