generacion,mejor_fitness,mejor_global,promedio,mediana,std,min,max,q25,q75
1,0.113923,0.113923,-0.141288,-0.138660,0.155700,-0.390098,0.113923,-0.292951,-0.010794
2,0.233412,0.233412,-0.096622,-0.082502,0.192777,-0.540108,0.233412,-0.204668,0.072574
3,0.235146,0.235146,-0.023016,-0.031523,0.150557,-0.408754,0.235146,-0.119111,0.114774
4,0.239149,0.239149,0.010065,0.042526,0.175876,-0.346768,0.239149,-0.146315,0.161776
5,0.239149,0.239149,0.008287,0.059958,0.186002,-0.413575,0.239149,-0.132752,0.162530
6,0.248810,0.248810,0.085343,0.124143,0.132097,-0.327438,0.248810,-0.003313,0.183166
7,0.313170,0.313170,0.078881,0.124692,0.163594,-0.280248,0.313170,-0.019851,0.220075
8,0.313170,0.313170,0.072043,0.143021,0.180215,-0.395608,0.313170,-0.020896,0.198298
9,0.313170,0.313170,0.111618,0.170567,0.149202,-0.286735,0.313170,-0.001392,0.234330
10,0.313170,0.313170,0.119882,0.171294,0.151085,-0.305213,0.313170,0.026379,0.238111
11,0.334328,0.334328,0.114546,0.171846,0.176296,-0.388796,0.334328,0.039516,0.240115
12,0.336814,0.336814,0.128242,0.180740,0.171372,-0.267936,0.336814,0.052067,0.251203
13,0.336814,0.336814,0.110322,0.159835,0.187594,-0.356939,0.336814,-0.023916,0.271704
14,0.336814,0.336814,0.076090,0.120067,0.198426,-0.331667,0.336814,-0.091023,0.244654
15,0.336814,0.336814,0.086185,0.104072,0.171599,-0.247402,0.336814,-0.039098,0.224043
16,0.365792,0.365792,0.110262,0.153086,0.180314,-0.361700,0.365792,-0.055504,0.239083
17,0.365792,0.365792,0.110783,0.164916,0.210984,-0.345857,0.365792,0.020614,0.288223
18,0.365792,0.365792,0.108953,0.144612,0.187788,-0.285519,0.365792,0.001818,0.266114
19,0.365792,0.365792,0.162848,0.220476,0.192849,-0.382291,0.365792,0.128489,0.321279
20,0.365792,0.365792,0.122480,0.180954,0.199744,-0.284460,0.365792,-0.037518,0.299272
21,0.365792,0.365792,0.122435,0.203035,0.196922,-0.252265,0.365792,-0.054784,0.292097
22,0.365792,0.365792,0.145126,0.215289,0.193847,-0.271510,0.365792,0.009408,0.314985
23,0.366375,0.366375,0.164237,0.218409,0.171555,-0.324190,0.366375,0.096704,0.265522
24,0.402536,0.402536,0.168298,0.199865,0.169027,-0.209824,0.402536,0.051511,0.330919
25,0.402536,0.402536,0.197084,0.214054,0.163167,-0.285650,0.402536,0.099898,0.341652
26,0.402536,0.402536,0.223870,0.281728,0.158899,-0.302059,0.402536,0.158821,0.338587
27,0.434335,0.434335,0.217903,0.247034,0.168426,-0.362893,0.434335,0.136123,0.366333
28,0.436894,0.436894,0.266968,0.295088,0.140533,-0.217197,0.436894,0.191781,0.371078
29,0.436894,0.436894,0.234991,0.249604,0.160925,-0.128804,0.436894,0.103193,0.391030
30,0.438941,0.438941,0.268497,0.313872,0.155197,-0.132732,0.438941,0.206147,0.387484
31,0.438941,0.438941,0.223731,0.285595,0.181916,-0.337826,0.438941,0.067816,0.362490
32,0.442114,0.442114,0.254078,0.303144,0.179216,-0.395413,0.442114,0.126989,0.415898
33,0.447733,0.447733,0.214748,0.228243,0.185058,-0.365525,0.447733,0.118676,0.384871
34,0.447733,0.447733,0.209928,0.298173,0.226028,-0.397382,0.447733,0.098541,0.373967
35,0.449018,0.449018,0.246472,0.295069,0.185569,-0.364966,0.449018,0.158860,0.408365
36,0.453246,0.453246,0.248859,0.307150,0.190604,-0.365261,0.453246,0.151804,0.368273
37,0.453246,0.453246,0.217342,0.262914,0.196102,-0.284459,0.453246,0.084285,0.377379
38,0.453246,0.453246,0.216169,0.257106,0.214177,-0.363317,0.453246,0.090532,0.375849
39,0.458422,0.458422,0.204948,0.236696,0.208338,-0.391955,0.458422,0.066087,0.367845
40,0.469195,0.469195,0.236419,0.285006,0.209051,-0.268109,0.469195,0.182657,0.404340
41,0.469195,0.469195,0.223179,0.234764,0.178669,-0.284820,0.469195,0.094960,0.375223
42,0.471692,0.471692,0.265976,0.320104,0.188544,-0.408864,0.471692,0.178884,0.410254
43,0.471692,0.471692,0.229087,0.307537,0.203959,-0.235961,0.471692,0.037911,0.390332
44,0.472860,0.472860,0.223272,0.313848,0.226272,-0.414489,0.472860,0.135961,0.390214
45,0.472860,0.472860,0.185224,0.278039,0.255058,-0.333267,0.472860,0.009052,0.416757
46,0.472860,0.472860,0.231768,0.277003,0.180566,-0.202983,0.472860,0.103353,0.379207
47,0.472860,0.472860,0.203750,0.267341,0.229735,-0.544844,0.472860,0.054828,0.402662
48,0.472860,0.472860,0.176684,0.244248,0.208362,-0.414122,0.472860,0.058270,0.337637
49,0.472860,0.472860,0.148708,0.191781,0.235243,-0.382591,0.472860,-0.028544,0.328441
50,0.472860,0.472860,0.187104,0.200002,0.197124,-0.262159,0.472860,0.023685,0.348409
51,0.472860,0.472860,0.171296,0.178250,0.217399,-0.401863,0.472860,-0.009562,0.343815
52,0.472861,0.472861,0.213088,0.236556,0.205622,-0.223373,0.472861,0.064056,0.385524
53,0.472861,0.472861,0.204371,0.240844,0.231684,-0.341610,0.472861,0.037170,0.411426
