Distancia Longitudinal (km),conductivity,inorganic_suspended_solids,dissolved_oxygen,carbonaceous_bod_slow,carbonaceous_bod_fast,nitrite,ammonium,nitrate,organic_phosphorus,inorganic_phosphorus,detritus,pathogen,alkalinity,const_i,const_ii,const_iii,pH,total_nitrogen,total_phosphorus,total_kjeldahl_nitrogen,total_suspended_solids,ultimate_cbod,ammonia,water_temp_c,flow,hydraulic_head,channel_top_width,cross_section_area,flow_velocity,travel_time,water_temp_c_obs,total_suspended_solids_obs,dissolved_oxygen_obs,carbonaceous_bod_fast_obs,total_kjeldahl_nitrogen_obs,ammonium_obs,total_phosphorus_obs
0.0,458.557859,4.614057,0.01561,0.430474,130.179354,3389.98742,12200.855491,591.666031,581.023812,424.71452,23.530781,2.693762,92.395364,3.082532,4.175446,0.0,7.084316,16182.508942,1005.738332,15590.842911,28.144838,155.928949,53.057074,18.6934,1.52011,0.33912,13.83155,4.69053,0.32408,23.91499,,,,,,,
0.200088,458.557859,4.614057,0.01561,0.430474,130.179354,3389.98742,12200.855491,591.666031,581.023812,424.71452,23.530781,2.693762,92.395364,3.082532,4.175446,0.0,7.084316,16182.508942,1005.738332,15590.842911,28.144838,155.928949,53.057074,18.6934,1.52011,0.33912,13.83155,4.69053,0.32408,23.91499,22.3,109.0,0.05,121.0,,,
0.600264,458.566055,4.614503,0.016064,0.430485,130.004355,3390.728942,12200.883856,592.399818,589.148722,416.797103,23.708456,2.789181,92.411039,3.082532,4.175393,0.0,7.080178,16184.012616,1005.945825,15591.612798,28.322959,155.945139,52.800547,18.7572,1.52011,0.33912,13.83155,4.69053,0.32408,23.9007,,,,,,,
1.000441,458.5743,4.614952,0.017717,0.430496,129.827471,3391.474027,12200.910472,593.136472,597.422322,408.731184,23.888235,2.890565,92.427023,3.082532,4.17534,0.0,7.076041,16185.520971,1006.153507,15592.384499,28.503187,155.961707,52.549669,18.8222,1.51734,0.33895,13.82598,4.68633,0.32378,23.87212,,,,,,,
1.400617,456.857287,4.617721,0.023742,0.431131,129.838024,3386.394357,12214.173282,591.25597,603.315614,400.321385,24.07948,3.003207,92.39676,3.088159,4.181921,0.0,7.071538,16191.823609,1003.636999,15600.567639,28.6972,156.178675,52.289276,18.8811,1.51734,0.33895,13.82598,4.68633,0.32378,23.87212,,,,,,,
1.800793,449.427052,4.601174,0.021157,0.433321,130.330811,3133.839033,11880.0085,601.738833,463.520987,316.577734,24.131403,3.057882,88.346979,3.146471,4.14204,0.0,7.054625,15615.586366,780.09872,15013.847534,28.732577,156.729521,49.201725,18.9587,1.48922,0.33725,13.76902,4.64354,0.32071,23.85781,,,,,,,
2.20097,445.703521,4.566846,0.026585,0.422721,126.991705,3135.951164,11918.329524,607.975926,447.010921,261.377856,24.103327,3.145075,85.920387,3.179176,4.128822,0.0,7.057289,15662.256614,708.388778,15054.280688,28.670173,153.349606,49.83626,19.0068,1.4739,0.33631,13.73763,4.62005,0.31902,23.84337,,,,,,,
2.601146,445.712366,4.567332,0.057061,0.422733,126.813148,3136.672408,11918.419435,608.73002,453.495193,255.111807,24.292108,3.277774,85.932363,3.179176,4.128764,0.0,7.053241,15663.821863,708.607,15055.091843,28.85944,153.374189,49.632601,19.078,1.4739,0.33631,13.73763,4.62005,0.31902,23.81434,,,,,,,
3.001322,445.721262,4.567822,0.170316,0.422745,126.653775,3137.397445,11918.573973,609.407164,460.104839,248.72051,24.483274,3.421927,85.945118,3.179176,4.128705,0.0,7.050138,15665.378582,708.825349,15055.971418,29.051096,153.420522,49.542269,19.1505,0.92051,0.29621,12.38204,3.66767,0.25098,23.79982,19.85,48.0,0.05,82.0,,,
3.401499,534.241136,4.970089,0.059948,0.402962,120.894568,4183.042196,16559.391197,725.119215,624.256759,384.799071,26.226034,1.500919,109.381657,1.46964,2.997957,0.0,7.030643,21467.552608,1009.05583,20742.433393,31.196123,149.516743,70.146306,20.0206,0.92051,0.29621,12.38204,3.66767,0.25098,23.79982,,,,,,,
